Date,Average Risk free rate (10-year Treasury Rate) ,Mkt_RF,SMB,HML,RF,RP-RF
2023/6/12,0,0.43,0.44,-1.31,0.016,0.00%
2023/6/13,0.528656686,-0.21,-0.5,-0.1,0.016,-1.60%
2023/6/14,0.20366113,-0.22,-0.19,0.35,0.016,-1.07%
2023/6/15,0.912082219,0.47,0.85,0.02,0.016,-1.40%
2023/6/16,-0.181413065,-0.72,-0.33,-0.48,0.016,-0.69%
2023/6/20,0.019912124,1.32,0.88,1.2,0.016,-1.78%
2023/6/21,-0.659584528,0.99,-0.07,-0.38,0.016,-1.58%
2023/6/22,0.674210621,-0.26,-0.46,-0.32,0.016,-2.26%
2023/6/23,-0.880466226,0.17,1.27,-0.21,0.016,-0.93%
2023/6/26,-1.393295017,-1.09,0.4,1.06,0.016,-2.48%
2023/6/27,0.8957358,-0.72,-0.32,-0.2,0.016,-2.99%
2023/6/28,0.126491159,0.65,-0.71,-1.08,0.016,-0.70%
2023/6/29,0.445528396,1.32,0.04,-0.86,0.016,-1.47%
2023/6/30,1.302331261,-0.01,-0.15,-0.42,0.016,-1.15%
